query_id,query_source_id,candidate_source_id,control_source_ids,control_type,pipeline_query,pipeline_reference,resolution_query,resolution_reference,extractor,aggregator,similarity,split,source_index,signed_ncc,raw_score,control_mean,control_median,control_mad,single_control_score,subtraction_score,fits_score,fits_plus_score,log_ratio,label_match
D02_Apple_iPhone4s:native:0021,D02_Apple_iPhone4s,D02_Apple_iPhone4s,D04_LG_D290|D05_Apple_iPhone5c|D15_Apple_iPhone6|D19_Apple_iPhone6Plus,same_pipeline_different_device,native,native,3264x2448,3264x2448,prnu_python_wavelet_mle,mle_5,squared_aligned_ncc,calibration,21,0.013375246022148228,0.000178897206152992,1.7274269130936978e-07,1.1892266094384068e-07,1.0726312011794252e-07,4.47454158518929e-07,0.00017844975199447308,399.8112493694121,1504.3155335842453,7.316093278771746,True
D02_Apple_iPhone4s:native:0021,D02_Apple_iPhone4s,D04_LG_D290,D05_Apple_iPhone5c|D15_Apple_iPhone6|D19_Apple_iPhone6Plus,same_pipeline_different_device,native,native,3264x2448,3264x2448,prnu_python_wavelet_mle,mle_5,squared_aligned_ncc,calibration,21,-0.0006689201436038004,4.47454158518929e-07,8.11722022395167e-08,1.7647796820927595e-08,1.1976511990058851e-08,2.2019752506675376e-07,2.2725663345217525e-07,2.0320580732380233,25.354675320622267,3.232963143825703,False
D02_Apple_iPhone4s:native:0021,D02_Apple_iPhone4s,D05_Apple_iPhone5c,D04_LG_D290|D15_Apple_iPhone6|D19_Apple_iPhone6Plus,same_pipeline_different_device,native,native,3264x2448,3264x2448,prnu_python_wavelet_mle,mle_5,squared_aligned_ncc,calibration,21,-0.00046925209116929225,2.2019752506675376e-07,1.569244133902418e-07,1.7647796820927595e-08,1.1976511990058851e-08,4.47454158518929e-07,-2.2725663345217525e-07,0.4921119200134522,12.477337953349116,2.5239140351684277,False
D02_Apple_iPhone4s:native:0021,D02_Apple_iPhone4s,D15_Apple_iPhone6,D04_LG_D290|D05_Apple_iPhone5c|D19_Apple_iPhone6Plus,same_pipeline_different_device,native,native,3264x2448,3264x2448,prnu_python_wavelet_mle,mle_5,squared_aligned_ncc,calibration,21,7.530793338599025e-05,5.671284830868744e-09,2.284331601355368e-07,2.2019752506675376e-07,2.0254972824582616e-07,4.47454158518929e-07,-4.417828736880603e-07,0.01267456056200409,0.02575544311476467,-3.659109291112994,False
D02_Apple_iPhone4s:native:0021,D02_Apple_iPhone4s,D19_Apple_iPhone6Plus,D04_LG_D290|D05_Apple_iPhone5c|D15_Apple_iPhone6,same_pipeline_different_device,native,native,3264x2448,3264x2448,prnu_python_wavelet_mle,mle_5,squared_aligned_ncc,calibration,21,0.00013284501052326955,1.7647796820927595e-08,2.2444098947218384e-07,2.2019752506675376e-07,2.14526240235885e-07,4.47454158518929e-07,-4.298063616980014e-07,0.039440457720499714,0.08014530052314436,-2.5239140351684277,False
D02_Apple_iPhone4s:native:0022,D02_Apple_iPhone4s,D02_Apple_iPhone4s,D04_LG_D290|D05_Apple_iPhone5c|D15_Apple_iPhone6|D19_Apple_iPhone6Plus,same_pipeline_different_device,native,native,3264x2448,3264x2448,prnu_python_wavelet_mle,mle_5,squared_aligned_ncc,calibration,22,0.01981184756794521,0.00039250930405549647,4.2322796925798946e-07,8.111851409273952e-08,6.54517045253507e-08,1.3327190516148983e-07,0.00039237603215033496,2945.1766565494836,4838.714175739911,8.484404298245728,True
D02_Apple_iPhone4s:native:0022,D02_Apple_iPhone4s,D04_LG_D290,D05_Apple_iPhone5c|D15_Apple_iPhone6|D19_Apple_iPhone6Plus,same_pipeline_different_device,native,native,3264x2448,3264x2448,prnu_python_wavelet_mle,mle_5,squared_aligned_ncc,calibration,22,0.0003650642479913499,1.3327190516148983e-07,5.198799906234893e-07,2.896512302398921e-08,2.6596626913200795e-08,2.3684961107884178e-09,1.309034090507014e-07,56.26857673712907,4.6011164893417735,1.5262989891188088,False
D02_Apple_iPhone4s:native:0022,D02_Apple_iPhone4s,D05_Apple_iPhone5c,D04_LG_D290|D15_Apple_iPhone6|D19_Apple_iPhone6Plus,same_pipeline_different_device,native,native,3264x2448,3264x2448,prnu_python_wavelet_mle,mle_5,squared_aligned_ncc,calibration,22,4.8667197482374285e-05,2.3684961107884178e-09,5.635144603070565e-07,1.3327190516148983e-07,1.0430678213750062e-07,1.3327190516148983e-07,-1.309034090507014e-07,0.017771908549806016,0.017771908549806016,-4.030136239667494,False
D02_Apple_iPhone4s:native:0022,D02_Apple_iPhone4s,D15_Apple_iPhone6,D04_LG_D290|D05_Apple_iPhone5c|D19_Apple_iPhone6Plus,same_pipeline_different_device,native,native,3264x2448,3264x2448,prnu_python_wavelet_mle,mle_5,squared_aligned_ncc,calibration,22,0.0012362468817900777,1.5283063527356903e-06,5.486850809875582e-08,2.896512302398921e-08,2.6596626913200795e-08,1.3327190516148983e-07,1.3950344475742004e-06,11.467580889488993,52.763675523488416,3.965822990386389,False
D02_Apple_iPhone4s:native:0022,D02_Apple_iPhone4s,D19_Apple_iPhone6Plus,D04_LG_D290|D05_Apple_iPhone5c|D15_Apple_iPhone6,same_pipeline_different_device,native,native,3264x2448,3264x2448,prnu_python_wavelet_mle,mle_5,squared_aligned_ncc,calibration,22,-0.00017019143052453967,2.896512302398921e-08,5.546489180026561e-07,1.3327190516148983e-07,1.309034090507014e-07,1.3327190516148983e-07,-1.0430678213750062e-07,0.21733855300478558,0.21733855300478558,-1.5262989891188088,False
